0	-0.167108
#0.2	-0.167105
#0.4	-0.167098
#0.6	-0.167086
#0.8	-0.16707
1	-0.167051
#1.2	-0.16703
#1.4	-0.167009
#1.6	-0.166988
#1.8	-0.166967
2	-0.166947
#2.2	-0.166925
#2.4	-0.1669
#2.6	-0.166869
#2.8	-0.166828
3	-0.166773
#3.2	-0.166699
#3.4	-0.166604
#3.6	-0.166485
#3.8	-0.166339
4	-0.166167
#4.2	-0.165969
#4.4	-0.165747
#4.6	-0.165504
#4.8	-0.165241
5	-0.164956
#5.2	-0.164645
#5.4	-0.164302
#5.6	-0.163913
#5.8	-0.163461
6	-0.162926
#6.2	-0.162282
#6.4	-0.161505
#6.6	-0.160565
#6.8	-0.159437
7	-0.158094
#7.2	-0.156511
#7.4	-0.154668
#7.6	-0.152546
#7.8	-0.150132
8	-0.147414
#8.2	-0.144379
#8.4	-0.141009
#8.6	-0.137265
#8.8	-0.133075
9	-0.128321
#9.2	-0.122819
#9.4	-0.116318
#9.6	-0.108496
#9.8	-0.0989759
10	-0.0873472
#10.2	-0.073196
#10.4	-0.0621714
#10.6	-0.0538087
#10.8	-0.0476977
11	-0.0434926
#11.2	-0.0409096
#11.4	-0.0397215
#11.6	-0.0397492
#11.8	-0.0408548
12	-0.0429359
#12.2	-0.0459202
#12.4	-0.049762
#12.6	-0.054439
#12.8	-0.0599502
13	-0.0663146
#13.2	-0.0735698
#13.4	-0.0817718
#13.6	-0.0909951
#13.8	-0.101332
14	-0.112895
#14.2	-0.125814
#14.4	-0.14024
#14.6	-0.156346
#14.8	-0.174322
15	-0.194381
#15.2	-0.216754
#15.4	-0.241688
#15.6	-0.269438
#15.8	-0.300266
16	-0.334423
#16.2	-0.372141
#16.4	-0.41361
#16.6	-0.45895
#16.8	-0.50818
17	-0.561175
#17.2	-0.611465
#17.4	-0.65845
#17.6	-0.701608
#17.8	-0.74053
18	-0.774948
#18.2	-0.804753
#18.4	-0.829998
#18.6	-0.850904
#18.8	-0.867841
19	-0.8813
#19.2	-0.89185
#19.4	-0.900086
#19.6	-0.906574
#19.8	-0.911811
20	-0.9162
#20.2	-0.920041
#20.4	-0.923535
#20.6	-0.926796
#20.8	-0.929876
21	-0.932782
#21.2	-0.935494
#21.4	-0.937983
#21.6	-0.940219
#21.8	-0.942179
22	-0.943852
#22.2	-0.94524
#22.4	-0.946359
#22.6	-0.947233
#22.8	-0.947899
23	-0.948395
#23.2	-0.948765
#23.4	-0.949049
#23.6	-0.949281
#23.8	-0.94949
24	-0.949696
#24.2	-0.94991
#24.4	-0.950134
#24.6	-0.950366
#24.8	-0.950598
25	-0.950821
#25.2	-0.951025
#25.4	-0.951202
#25.6	-0.951348
#25.8	-0.951458
26	-0.951536
#26.2	-0.951584
#26.4	-0.951609
#26.6	-0.951618
#26.8	-0.951619
27	-0.951619
