0	-0.155815
#0.2	-0.155816
#0.4	-0.15582
#0.6	-0.155828
#0.8	-0.155837
1	-0.155846
#1.2	-0.155849
#1.4	-0.15584
#1.6	-0.155812
#1.8	-0.155759
2	-0.155674
#2.2	-0.155554
#2.4	-0.155397
#2.6	-0.155205
#2.8	-0.154983
3	-0.15474
#3.2	-0.154483
#3.4	-0.154222
#3.6	-0.153963
#3.8	-0.15371
4	-0.153457
#4.2	-0.153192
#4.4	-0.152895
#4.6	-0.152536
#4.8	-0.152079
5	-0.151481
#5.2	-0.150702
#5.4	-0.149699
#5.6	-0.148437
#5.8	-0.14689
6	-0.145043
#6.2	-0.142891
#6.4	-0.140446
#6.6	-0.137727
#6.8	-0.13476
7	-0.131571
#7.2	-0.12817
#7.4	-0.124541
#7.6	-0.120617
#7.8	-0.116269
8	-0.111283
#8.2	-0.105353
#8.4	-0.0980837
#8.6	-0.0890065
#8.8	-0.0776141
9	-0.0634069
#9.2	-0.0459469
#9.4	-0.0249082
#9.6	-0.000116494
#9.8	0.0284328
10	0.0605788
#10.2	0.0960256
#10.4	0.128489
#10.6	0.157931
#10.8	0.184383
11	0.207926
#11.2	0.228668
#11.4	0.246737
#11.6	0.262264
#11.8	0.275378
12	0.2862
#12.2	0.294839
#12.4	0.301382
#12.6	0.3059
#12.8	0.30844
13	0.309026
#13.2	0.307657
#13.4	0.304308
#13.6	0.298925
#13.8	0.291429
14	0.281711
#14.2	0.269634
#14.4	0.255029
#14.6	0.237698
#14.8	0.217412
15	0.193913
#15.2	0.166912
#15.4	0.136101
#15.6	0.10115
#15.8	0.0617243
16	0.0174987
#16.2	-0.031824
#16.4	-0.0864828
#16.6	-0.146622
#16.8	-0.212246
17	-0.283153
#17.2	-0.352724
#17.4	-0.420111
#17.6	-0.484521
#17.8	-0.545255
18	-0.601737
#18.2	-0.653514
#18.4	-0.700257
#18.6	-0.741758
#18.8	-0.777938
19	-0.808855
#19.2	-0.834713
#19.4	-0.855864
#19.6	-0.872795
#19.8	-0.8861
20	-0.896433
#20.2	-0.904449
#20.4	-0.910755
#20.6	-0.915869
#20.8	-0.920199
21	-0.924035
#21.2	-0.927563
#21.4	-0.930882
#21.6	-0.934026
#21.8	-0.936991
22	-0.939749
#22.2	-0.942265
#22.4	-0.944509
#22.6	-0.946458
#22.8	-0.948105
23	-0.949455
#23.2	-0.950529
#23.4	-0.951356
#23.6	-0.951977
#23.8	-0.952435
24	-0.952775
#24.2	-0.95304
#24.4	-0.953263
#24.6	-0.953472
#24.8	-0.953685
25	-0.953909
#25.2	-0.954144
#25.4	-0.954384
#25.6	-0.954619
#25.8	-0.954839
26	-0.955032
#26.2	-0.955191
#26.4	-0.955312
#26.6	-0.955394
#26.8	-0.955439
27	-0.955454
