0	-0.0108052
0.2	-0.0108057
0.4	-0.0108071
0.6	-0.0108104
0.8	-0.0108167
1	-0.0108264
1.2	-0.0108403
1.4	-0.0108583
1.6	-0.0108803
1.8	-0.0109058
2	-0.0109335
2.2	-0.0109616
2.4	-0.0109875
2.6	-0.0110082
2.8	-0.0110198
3	-0.011018
3.2	-0.0109979
3.4	-0.010955
3.6	-0.010885
3.8	-0.0107844
4	-0.0106512
4.2	-0.0104858
4.4	-0.0102914
4.6	-0.0100746
4.8	-0.00984645
5	-0.00962249
5.2	-0.0094231
5.4	-0.00927316
5.6	-0.00920139
5.8	-0.00923891
6	-0.0094171
6.2	-0.00976453
6.4	-0.010303
6.6	-0.0110423
6.8	-0.0119746
7	-0.0130672
7.2	-0.0142552
7.4	-0.0154342
7.6	-0.016453
7.8	-0.0171083
8	-0.0171417
8.2	-0.01624
8.4	-0.0140413
8.6	-0.0101461
8.8	-0.00413627
9	0.00439868
9.2	0.0158253
9.4	0.0304186
9.6	0.0482989
9.8	0.0693435
10	0.0930649
10.2	0.118448
10.4	0.13924
10.6	0.155899
10.8	0.169027
11	0.179201
11.2	0.186914
11.4	0.192558
11.6	0.196428
11.8	0.198732
12	0.199598
12.2	0.199078
12.4	0.197154
12.6	0.193736
12.8	0.188657
13	0.18167
13.2	0.172433
13.4	0.160491
13.6	0.145265
13.8	0.126022
14	0.10186
14.2	0.0716868
14.4	0.0342335
14.6	-0.0118807
14.8	-0.0679496
15	-0.134691
15.2	-0.204957
15.4	-0.275283
15.6	-0.343461
15.8	-0.408123
16	-0.468446
16.2	-0.523943
16.4	-0.574343
16.6	-0.619518
16.8	-0.659441
17	-0.694171
17.2	-0.723843
17.4	-0.74867
17.6	-0.768939
17.8	-0.78501
18	-0.797302
18.2	-0.806282
18.4	-0.812446
18.6	-0.816293
18.8	-0.81831
19	-0.818947
19.2	-0.818606
19.4	-0.817632
19.6	-0.816306
19.8	-0.814847
20	-0.813417
20.2	-0.812125
20.4	-0.811037
20.6	-0.810184
20.8	-0.80957
21	-0.809178
21.2	-0.808983
21.4	-0.808949
21.6	-0.809039
21.8	-0.809217
22	-0.809449
22.2	-0.809707
22.4	-0.809968
22.6	-0.810214
22.8	-0.810433
23	-0.810618
23.2	-0.810765
23.4	-0.810875
23.6	-0.81095
23.8	-0.810995
24	-0.811015
24.2	-0.811017
24.4	-0.811007
24.6	-0.810993
24.8	-0.81098
25	-0.810976
