0	-0.0689427
0.2	-0.0689379
0.4	-0.0689233
0.6	-0.0689018
0.8	-0.0688765
1	-0.068851
1.2	-0.0688292
1.4	-0.0688148
1.6	-0.0688116
1.8	-0.0688225
2	-0.0688494
2.2	-0.0688924
2.4	-0.0689495
2.6	-0.069016
2.8	-0.0690843
3	-0.0691436
3.2	-0.0691803
3.4	-0.0691783

3.8	-0.0689872
4	-0.0687635
4.2	-0.0684352
4.4	-0.0679937
4.6	-0.0674375
4.8	-0.0667738
5	-0.0660191
5.2	-0.0652
5.4	-0.0643522
5.6	-0.0635178
5.8	-0.0627422
6	-0.0620681
6.2	-0.0615292
6.4	-0.061141
6.6	-0.0608916
6.8	-0.060731
7	-0.0605609
7.2	-0.0602246
7.4	-0.0595006
7.6	-0.0580979
7.8	-0.0556579
8	-0.0517613
8.2	-0.0459438
8.4	-0.0377175
8.6	-0.0266006
8.8	-0.012152
9	0.00598916
9.2	0.0280615
9.4	0.0541369
9.6	0.0840728
9.8	0.117462
10	0.153585
10.2	0.191377
10.4	0.224318
10.6	0.252456
10.8	0.276056
11	0.295469
11.2	0.311061
11.4	0.323165
11.6	0.332062
11.8	0.337971
12	0.341037
12.2	0.341338
12.4	0.338873
12.6	0.333565
12.8	0.325261
13	0.313722
13.2	0.298622
13.4	0.279543
13.6	0.255971
13.8	0.227295
14	0.192815
14.2	0.151762
14.4	0.103342
14.6	0.046819
14.8	-0.0183296
15	-0.0921639
#15.2	-0.167732
#15.4	-0.24287
#15.6	-0.315928
#15.8	-0.385706
16	-0.451363
#16.2	-0.512325
#16.4	-0.568214
#16.6	-0.618798
#16.8	-0.663956
17	-0.70367
#17.2	-0.73801
#17.4	-0.767142
#17.6	-0.791324
#17.8	-0.810903
18	-0.826306
#18.2	-0.838027
#18.4	-0.846602
#18.6	-0.852581
#18.8	-0.856508
19	-0.858888
#19.2	-0.860175
#19.4	-0.860755
#19.6	-0.860937
#19.8	-0.86096
20	-0.86099
#20.2	-0.861131
#20.4	-0.861436
#20.6	-0.861918
#20.8	-0.862557
21	-0.863319
#21.2	-0.864155
#21.4	-0.865017
#21.6	-0.865858
#21.8	-0.866638
22	-0.867328
#22.2	-0.867908
#22.4	-0.868369
#22.6	-0.868713
#22.8	-0.868946
23	-0.869084
#23.2	-0.869143
#23.4	-0.869141
#23.6	-0.869099
#23.8	-0.869032
24	-0.868957
#24.2	-0.868884
#24.4	-0.868822
#24.6	-0.868776
#24.8	-0.868749
25	-0.86874
