0.,5.970486062037924e-11
0.01,8.31459842207481e-11
0.02,1.1576495260231468e-10
0.03,1.6113988822566352e-10
0.04,2.2423429948610087e-10
0.05,3.119271840522925e-10
0.06,4.3374171908306073e-10
0.07,6.028439999162153e-10
0.08,8.374069483417297e-10
0.09,1.1624645330674062e-9
0.1,1.612418437661022e-9
0.11,2.2344029750256353e-9
0.12,3.0927622051464703e-9
0.13,4.274940227652609e-9
0.14,5.8991199985675885e-9
0.15,8.123947083583133e-9
0.16,1.1160608679895805e-8
0.17,1.5287354632779557e-8
0.18,2.0866179393993296e-8
0.19,2.836075931833052e-8
0.2,3.835381078658814e-8
0.21,5.1560844078229214e-8
0.22,6.883607700707321e-8
0.23,9.116561515597726e-8
0.24,1.196438887769163e-7
0.25,1.5543300682407304e-7
0.26,1.9971202321639253e-7
0.27,2.5363340281136464e-7
0.28,3.183135839435263e-7
0.29,3.948867176781646e-7
0.3,4.846382226398358e-7
0.31,5.892055345895069e-7
0.32,7.107949318765716e-7
0.33,8.523317074200415e-7
0.34,1.01745264482998e-6
0.35000000000000003,1.21027294340307e-6
0.36,1.4349134571781694e-6
0.37,1.6948521159921417e-6
0.38,1.992251536224075e-6
0.39,2.3274804406379466e-6
0.4,2.6990396106350005e-6
0.41000000000000003,3.1039898812429577e-6
0.42,3.538790008128482e-6
0.43,4.000284048428693e-6
0.44,4.486530806574073e-6
0.45,4.9972621104706475e-6
0.46,5.533921500078368e-6
0.47000000000000003,6.099373712985217e-6
0.48,6.697434755906246e-6
0.49,7.3323574810387e-6
0.5,8.008350631506868e-6
0.51,8.729120121267375e-6
0.52,9.497102229070187e-6
0.53,0.000010308702684215465
0.54,0.000011195287090944154
0.55,0.000012134212162545849
0.56,0.000013126231319905997
0.5700000000000001,0.000014171310979261118
0.58,0.000015268727950606868
0.59,0.000016417182392993716
0.6,0.00001761491709168808
0.61,0.000018859835300915892
0.62,0.000020149611006514596
0.63,0.00002148178719874584
0.64,0.000022853859481752895
0.65,0.00002426334392694557
0.66,0.000025707829378225524
0.67,0.000027185015372077327
0.68,0.00002869273744019597
0.6900000000000001,0.000030228981857012716
0.7000000000000001,0.000031791891944970026
0.71,0.00003337976792952339
0.72,0.00003499106211075883
0.73,0.00003662437084379032
0.74,0.0000382784245355969
0.75,0.000039952076597722055
0.76,0.0000416442920570122
0.77,0.00004335413632665962
0.78,0.00004508076447792841
0.79,0.00004682341122637672
0.8,0.00004858138175068131
0.81,0.00005035404339224025
0.8200000000000001,0.00005214081823456879
0.8300000000000001,0.00005394117652857214
0.84,0.00005575463090917219
0.85,0.00005758073133726189
0.86,0.0000594190606959842
0.87,0.00006126923096987217
0.88,0.00006313087993791476
0.89,0.0000650036683159962
0.9,0.00006688727728956728
0.91,0.00006878140638326312
0.92,0.00007068577162008645
0.93,0.00007260010392845928
0.9400000000000001,0.00007452414776075538
0.9500000000000001,0.0000764576598917597
0.96,0.00007840040836982622
0.97,0.0000803521715973037
0.98,0.00008231273752008993
0.99,0.00008428190290897453
1.,0.00008625947271776733
